"name","water","protein","fat","lactose","ash"
"Horse",0.929636499378334,-0.988898963961315,-0.884959347018923,1.51105750744221,-1.01142448769785
"Orangutan",0.804811188954926,-1.31743682574248,-0.647271512086896,1.01974545661201,-1.24359621901414
"Monkey",0.797009607053463,-1.09841158455504,-0.723331619265145,1.2381063680921,-1.37023534518666
"Donkey",0.94523966318126,-1.23530236029719,-0.846929293429799,1.12892591235206,-0.905891882554088
"Hippo",0.953041245082724,-1.53646206692993,-0.552196378114085,0.14630181069166,-1.53908751341668
"Camel",0.742398533743222,-0.742495567625439,-0.656779025484177,0.364662722171748,-0.251589730662738
"Bison",0.679985878531518,-0.386579550695841,-0.818406753237956,0.855974773001947,0.149434168883573
"Buffalo",0.305509947261292,-0.0854198440631034,-0.228940922606528,0.310072494301726,-0.103844083461466
"Guinea Pig",0.289906783458366,0.325252483163356,-0.295493516387496,-0.781732063098717,0.0439015637398068
"Cat",0.266502037753977,1.06446267217098,-0.381061136963026,0.14630181069166,-0.167163646547725
"Fox",0.266502037753977,0.106227241975911,-0.41909119055215,0.41925295004177,0.212753731969833
"Llama",0.648779550925665,-0.632982947031717,-0.67579405227874,0.801384545131925,-0.0616310414039591
"Mule",0.921834917476871,-1.1531678948519,-0.808899239840675,0.746794317261903,-0.758146235352815
"Pig",0.360121020571533,0.243118017718064,-0.495151297730399,-0.235829784398495,0.571564589458637
"Zebra",0.625374805221276,-0.879386343367592,-0.523673837922242,0.637613861521859,-0.272696251691491
"Sheep",0.297708365359829,-0.167554309508396,-0.371553623565745,0.310072494301726,0.170540689912326
"Dog",-0.146981803023564,0.845437430983539,-0.0768207082500311,-0.61796137948865,0.782629799746169
"Elephant",-0.583870389505493,-0.715117412477008,0.693287876929737,0.801384545131925,-0.420441898892764
"Rabbit",-0.537060898096715,1.66678208543646,0.265449774052088,-1.21845388605889,3.10434711290902
"Rat",-0.443441915279158,0.818059275835108,0.217912207065682,-0.454190695878584,1.20476022032123
"Deer",-0.958346320775718,1.14659713761628,0.892945658272639,-0.836322290968739,1.20476022032123
"Reindeer",-1.04416372169181,1.22873160306157,0.949990738656326,-0.890912518838761,1.20476022032123
"Whale",-1.04416372169181,1.33824422365529,1.03555835923186,-1.38222456966896,0.0439015637398068
"Seal",-2.47965479156101,0.954950051577261,3.01312114586632,-2.25566821558931,0.0439015637398068
"Dolphin",-2.59667852008295,1.20135344791314,2.33808769465936,-1.76435616475912,-0.631507109180296
